day,xt
33004,0.0
33005,0.0
33006,0.0
33007,0.0
33008,0.0
33009,0.0
33010,0.0
33011,0.0
33012,0.41197701071930415
33013,0.0
33014,0.0
33015,0.0
33016,0.0
33017,0.0
33018,0.0
33019,0.0
33020,0.0
33021,0.0
33022,0.06814333191490074
33023,0.0
33024,0.0
33025,0.0
33026,0.0
33027,0.0
33028,0.0
33029,0.0
33030,0.7307324763857257
33031,0.0
33032,0.0
33033,0.0
33034,0.0
33035,0.0
33036,0.0
33037,0.0
33038,0.0
33039,0.0
33040,0.0
33041,0.0
33042,0.0
33043,0.0
33044,0.12006806949439908
33045,0.2634329186656398
33046,0.0
33047,0.0
33048,0.3848247117165948
33049,0.014820643598756567
33050,0.07305666645826236
33051,0.15087527622883978
33052,0.0
33053,1.9069970909304539
33054,2.3192855114593405
33055,1.3385146415110116
33056,1.8322821209146511
33057,1.192979904079203
33058,0.8046095697917595
33059,0.0
33060,0.0
33061,0.3108090588173005
33062,0.0
33063,0.0
33064,0.0
33065,0.0
33066,0.0
33067,0.0
33068,0.6384048773765112
33069,1.3201577545067373
33070,0.9723757092038812
33071,0.0
33072,0.0
33073,0.0
33074,1.3027905805889692
33075,0.7027461505883741
33076,0.6773774383412879
33077,1.0826004558835693
33078,2.3063074209120034
33079,1.7373736988095878
33080,0.06524654561938403
33081,0.0
33082,0.9532317620099982
33083,1.1667844267125733
33084,0.45881955679666697
33085,0.0
33086,0.0
33087,0.0
33088,0.0
33089,0.28326617185931513
33090,0.6859971555370443
33091,0.6834728864671831
33092,1.4813961596747305
33093,2.6388027693549034
33094,4.018737559006816
33095,4.093881497734553
33096,3.505714245183971
33097,1.2750875882599222
33098,0.790318710862463
33099,0.0
33100,0.01248282820569863
33101,0.8162698539795814
33102,1.5567551647581113
33103,2.386931711032051
33104,0.9076161214524143
33105,0.0
33106,1.3068544256613694
33107,0.0
33108,0.7289802714715141
33109,0.5745913802267022
33110,0.279517975092522
33111,0.5199127577909052
33112,2.377116045120464
33113,1.6338982532979087
33114,1.2865218225363109
33115,2.466788450515879
33116,1.6479853030883356
33117,2.557475780560827
33118,2.5760571523462454
33119,0.3998449386252152
33120,0.5814106197554291
33121,0.7382043922849357
33122,1.0216320776908034
33123,1.7825969338134955
33124,2.4452260510285164
33125,2.518442964635143
33126,3.730480802611398
33127,3.425300359281502
33128,3.7820788095676665
33129,2.9731277938884633
33130,0.9765146192689997
33131,0.2556391864128653
33132,0.41447566304673267
33133,0.0
33134,0.0
33135,1.7749497131573464
33136,1.5367253517877657
33137,2.03413634960866
33138,1.2070287863831564
33139,0.0
33140,0.0
33141,1.0883549935069143
33142,0.8176480027599085
33143,0.9555269110062206
33144,0.25463101319851034
33145,1.0020523541433735
33146,2.405744851232555
33147,4.64460482836942
33148,5.279915944807699
33149,4.289475293518275
33150,2.3836047905470044
33151,3.6663593947775
33152,1.7724928331006062
33153,1.6468533786547968
33154,2.6014540736329756
33155,4.213360877292995
33156,3.2352601923914235
33157,3.305322196571646
33158,3.0852138516993084
33159,2.250461392273566
33160,3.376641846788037
33161,3.8190164015528882
33162,2.489799779579472
33163,2.142161741883812
33164,1.6042257379731741
33165,1.868358670876857
33166,3.5934728542858747
33167,3.73573989179524
33168,3.2507332742427772
33169,2.936811275367493
33170,3.110189103420796
33171,1.1364527063745136
33172,1.994535136046271
33173,1.8956886419627506
33174,1.492018314943099
33175,0.7901000570355039
33176,0.41590258538581787
33177,0.0
33178,0.0
33179,0.1841131804801196
33180,0.0
33181,0.0
33182,0.0
33183,0.8878044696676317
33184,0.9429037002126948
33185,1.6112268473669462
33186,1.9223656938895768
33187,3.2197250479977697
33188,1.1748708444415135
33189,2.146320107746838
33190,0.845491764844208
33191,0.0
33192,0.0
33193,0.0
33194,0.0
33195,0.7932427365590206
33196,0.0
33197,0.0
33198,0.0
33199,0.0
33200,0.0
33201,0.0
33202,0.0
33203,0.0
33204,0.0
33205,0.0
33206,0.0
33207,0.0
33208,0.0
33209,0.0
33210,0.0
33211,0.006813562613673607
33212,0.0
33213,0.0
33214,0.0
33215,1.6005385436746835
33216,1.3394318195277182
33217,0.19655240133904317
33218,0.0
33219,0.06529039488165156
33220,0.0
33221,0.0
33222,0.0
33223,0.0
33224,0.0
33225,0.0
33226,0.0
33227,0.0
33228,0.0
33229,0.0
33230,0.0
33231,0.0
33232,0.0
33233,0.0
33234,0.0
33235,0.27002381543679643
33236,0.0
33237,0.0
33238,0.0
33239,0.0
33240,0.0
33241,0.0
33242,0.0
33243,0.0
33244,0.0
33245,0.0
33246,0.0
33247,0.0
33248,0.0
33249,0.7835779293552783
33250,0.8899809944775916
33251,0.0
33252,0.0
33253,0.12432912182000533
33254,0.0
33255,0.0
33256,0.0
33257,0.0
33258,0.0
33259,0.0
33260,0.0
33261,0.0
33262,0.0
33263,0.0
33264,0.0
33265,0.0
33266,0.0
33267,0.0
33268,0.0
33269,0.0
33270,0.0
33271,0.0
33272,0.0
33273,0.0
33274,0.0
33275,0.0
33276,0.0
33277,0.0
33278,0.0
33279,0.0
33280,0.0
33281,0.0
33282,0.0
33283,0.0
33284,0.0
33285,0.0
33286,0.0
33287,0.0
33288,0.0
33289,0.0
33290,0.0
33291,0.0
33292,0.0
33293,0.0
33294,0.0
33295,0.0
33296,0.0
33297,0.0
33298,0.0
33299,0.0
33300,0.0
33301,0.0
33302,0.0
33303,0.0
33304,0.0
33305,0.0
33306,0.0
33307,0.0
33308,0.0
33309,0.0
33310,0.0
33311,0.0
33312,0.0
33313,0.0
33314,0.0
33315,0.0
33316,0.0
33317,0.0
33318,0.0
33319,0.0
33320,0.0
33321,0.0
33322,0.0
33323,0.0
33324,0.0
33325,0.0
33326,0.0
33327,0.08676243356762114
33328,0.0
33329,0.0
33330,0.0
33331,0.0
33332,0.0
33333,0.0
33334,0.0
33335,0.0
33336,0.0
33337,0.0
33338,0.0
33339,0.0
33340,0.0
33341,0.0
33342,0.0
33343,0.0
33344,0.0
33345,0.0
33346,0.0
33347,0.0
33348,0.0
33349,0.0
33350,0.0
33351,0.0
33352,0.0
33353,0.0
33354,0.21816878163638487
33355,0.0
33356,0.0
33357,0.0
33358,0.0
33359,0.0
33360,0.0
33361,0.0
33362,0.0
33363,0.0
33364,0.0
33365,0.0
33366,0.0
33367,0.0
33368,0.0
33369,0.0
33370,0.0
33371,0.0
33372,0.0
33373,0.0
33374,0.0
33375,0.0
33376,0.0
33377,0.0
33378,0.0
33379,0.0
33380,0.0
33381,0.0
33382,0.8595576517590753
33383,0.0
33384,0.2351866012512649
33385,0.0
33386,0.0
33387,0.0
33388,0.0
33389,0.0
33390,0.0
33391,0.0
33392,0.0
33393,0.0
33394,0.0
33395,0.0
33396,0.0
33397,0.0
33398,0.0
33399,0.0
33400,0.0
33401,0.0
33402,0.0
33403,0.04293020365527922
33404,0.0
33405,0.0
33406,0.09043709120166288
33407,0.0
33408,0.0
33409,0.26091573931777834
33410,0.8827088303952073
33411,0.0
33412,0.03566480497416902
33413,0.23161139864214642
33414,0.0
33415,0.0
33416,0.0
33417,0.0
33418,0.0
33419,0.48375992802199663
33420,1.014027859873037
33421,0.42062786380276573
33422,0.4204417869152699
33423,0.31883930415363143
33424,1.3859549410671963
33425,0.9058758164301579
33426,0.8384427933254697
33427,0.25356643081122066
33428,0.44826677961371403
33429,0.0
33430,0.0
33431,1.6015195752529543
33432,0.5499071101182549
33433,0.0
33434,0.0928979259264564
33435,0.0
33436,0.0
33437,0.0
33438,0.0
33439,0.0
33440,0.2014861138977484
33441,0.05044187553057511
33442,0.440212106286492
33443,0.0
33444,0.6325879054053511
33445,0.0
33446,0.0
33447,0.0
33448,0.0
33449,0.43668872591957814
33450,0.8005243302622123
33451,0.4312411914120682
33452,0.10260019742360615
33453,0.02312707601709757
33454,0.0
33455,0.0
33456,0.0
33457,0.0
33458,0.5000511504147922
33459,0.0
33460,0.0
33461,0.6174402415556131
33462,0.7669895721468347
33463,0.041284153907223065
33464,0.0
33465,0.3233825057000908
33466,1.2549200297334784
33467,1.1173894870204988
33468,1.9621527149886926
33469,2.1855964080166888
33470,2.1793078664688625
33471,2.662830723896954
33472,2.700205329302816
33473,3.9847014028065733
